feature,importance
tool_errors_occurred,0.19480456354706124
similarity_score,0.10229804484417636
patch_similarity,0.08295073493056467
final_similarity,0.05289547356497854
progress_volatility,0.050238916509747836
max_progress,0.04811752952958276
lines_added,0.04194660522958858
edit_to_explore_ratio,0.03603747741526808
no_changes_made,0.034675300265482246
wrong_files_modified,0.02708366193204035
lines_removed,0.023678889269921396
trajectory_efficiency,0.02333468530808288
implementation_steps,0.0224841284827327
total_errors,0.021869643956936205
trajectory_length,0.01918170627115517
total_tool_calls,0.01628956406444075
used_str_replace,0.014971329685088818
steps_per_file,0.014734936317898729
exploration_steps,0.01385062108979584
recovery_rate,0.013830332354818625
implementation_pct,0.012710039223611098
files_explored,0.011978429674396883
search_to_read_ratio,0.011623877673324724
submitted,0.011329385573977058
phase_transitions,0.010557226291861175
line_level_similarity,0.00977229672877473
exploration_efficiency,0.009714161858524946
correct_files_touched,0.00931647571508795
tool_errors_count,0.008224077054729944
exploration_pct,0.0076462031155345
optimal_length,0.004402602505974504
verification_steps,0.0042942306656766184
unnecessary_steps,0.0039113351605117395
max_repetition,0.003860208195625348
recovered_errors,0.003808231189558545
directories_explored,0.003753257981666145
relevant_file_discovery_step,0.003734329700801846
reasoning_quality_score,0.003083965540559799
has_explicit_reasoning,0.0020562934643495213
monotonic_progress,0.0016293168880523754
mentions_issue_keywords,0.0015792185018767362
wasted_explorations,0.0014780962629580936
followed_test_after_change,0.001429761592262584
followed_read_before_write,0.0013670913242281335
ran_tests,0.0010387539759546748
mentions_relevant_files,0.0004269895707585153
verifies_after_change,0.0
verification_pct,0.0
hypothesizes_before_acting,0.0
explains_changes,0.0
converged,0.0
used_write_file,0.0
read_relevant_files,0.0
stuck_episodes,0.0
max_stuck_duration,0.0
had_regression,0.0
patch_too_large,0.0
hit_max_steps,0.0
model_got_stuck,0.0
