task_id,n_models,n_success,success_rate,model_agreement,mean_probability,prob_variance,uncertainty,informativeness,difficulty_category,models_succeeded,models_failed
scikit-learn__scikit-learn-30022,4,0,0.0,1.0,0.17771787781791654,0.04204582968904561,0.3554357556358331,0.035543575563583306,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30039,4,2,0.5,0.0,0.20270343045971917,0.06375709002598416,0.40540686091943834,0.44594754701138223,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30040,4,3,0.75,0.5,0.4632672440970622,0.10616250087402329,0.9265344881941244,0.5559206929164746,easy,"gpt-4o, gpt-5.1, o4-mini",claude-opus-4-20250514
scikit-learn__scikit-learn-30047,4,0,0.0,1.0,0.14098646299091344,0.025143895928863968,0.2819729259818269,0.02819729259818269,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30100,4,0,0.0,1.0,0.1182396808665191,0.010551402004226149,0.23647936173303818,0.02364793617330382,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30101,4,0,0.0,1.0,0.0763925190414161,0.013872680582706775,0.15278503808283217,0.015278503808283217,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30103,4,2,0.5,0.0,0.3635935120521034,0.1649727245968675,0.7271870241042068,0.7999057265146275,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30112,4,0,0.0,1.0,0.42262232008187883,0.11120819220878962,0.8452446401637577,0.08452446401637577,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30128,4,1,0.25,0.5,0.09192665667665667,0.030938545515655818,0.18385331335331334,0.11031198801198801,hard,gpt-5.1,"claude-opus-4-20250514, gpt-4o, o4-mini"
scikit-learn__scikit-learn-30137,4,2,0.5,0.0,0.10478092393717392,0.01403829115195475,0.20956184787434784,0.23051803266178264,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30145,4,0,0.0,1.0,0.1572293737716532,0.01630693070401487,0.3144587475433064,0.03144587475433064,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30152,4,0,0.0,1.0,0.029601901366607244,0.0007791270862471516,0.05920380273321446,0.0059203802733214465,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30155,4,0,0.0,1.0,0.06212138617101852,0.009340026310518652,0.12424277234203707,0.012424277234203708,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30168,4,0,0.0,1.0,0.044903450715950706,0.003540511849211216,0.0898069014319014,0.00898069014319014,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30176,4,0,0.0,1.0,0.1947859477124183,0.026283998992476226,0.3895718954248366,0.038957189542483665,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30179,4,0,0.0,1.0,0.03618815212565213,0.0008834173660718764,0.07237630425130426,0.007237630425130426,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30196,4,0,0.0,1.0,0.1352983664619694,0.027743890432963228,0.2705967329239388,0.027059673292393883,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30203,4,0,0.0,1.0,0.10431874191984486,0.014383302990583107,0.20863748383968972,0.020863748383968973,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30299,4,0,0.0,1.0,0.10800209655540538,0.020482659232439568,0.21600419311081076,0.021600419311081077,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30373,4,1,0.25,0.5,0.19979071316755143,0.12617582345532932,0.39958142633510285,0.2397488558010617,hard,gpt-5.1,"claude-opus-4-20250514, gpt-4o, o4-mini"
scikit-learn__scikit-learn-30380,4,0,0.0,1.0,0.003592490842490842,3.379045628770902e-05,0.007184981684981717,0.0007184981684981717,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30395,4,2,0.5,0.0,0.3756981249959191,0.18531673944519192,0.7513962499918382,0.8265358749910221,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30406,4,0,0.0,1.0,0.19277446936376894,0.018490623408494333,0.3855489387275379,0.03855489387275379,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30409,4,0,0.0,1.0,0.10067325297394955,0.0059448247153929745,0.20134650594789916,0.020134650594789916,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30415,4,0,0.0,1.0,0.15778758187117314,0.011247780031565999,0.3155751637423463,0.03155751637423463,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30443,4,2,0.5,0.0,0.21980319476275356,0.0695611230333804,0.4396063895255071,0.4835670284780579,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30451,4,0,0.0,1.0,0.11551677651339032,0.02817408690165525,0.23103355302678064,0.023103355302678066,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30454,4,3,0.75,0.5,0.46885566809280044,0.1035592742635955,0.9377113361856009,0.5626268017113605,easy,"gpt-4o, gpt-5.1, o4-mini",claude-opus-4-20250514
scikit-learn__scikit-learn-30514,4,0,0.0,1.0,0.21208100954056835,0.028325705458874414,0.4241620190811367,0.042416201908113675,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30516,4,0,0.0,1.0,0.19870080477801066,0.0229425568707928,0.39740160955602133,0.039740160955602136,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30521,4,2,0.5,0.0,0.1770664076436135,0.03424597295157555,0.35413281528722695,0.3895460968159497,medium,"gpt-5.1, o4-mini","claude-opus-4-20250514, gpt-4o"
scikit-learn__scikit-learn-30535,4,3,0.75,0.5,0.3844278632101775,0.07175078655818846,0.768855726420355,0.461313435852213,easy,"gpt-4o, gpt-5.1, o4-mini",claude-opus-4-20250514
scikit-learn__scikit-learn-30557,4,0,0.0,1.0,0.07678545221559926,0.006796124779593298,0.15357090443119858,0.015357090443119859,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30562,4,0,0.0,1.0,0.14097990257732904,0.009410633966196352,0.2819598051546581,0.028195980515465815,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30616,4,0,0.0,1.0,0.10613966560841562,0.00956323796719758,0.21227933121683118,0.02122793312168312,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30644,4,3,0.75,0.5,0.42730420164427524,0.08453975458835722,0.8546084032885505,0.5127650419731302,easy,"gpt-4o, gpt-5.1, o4-mini",claude-opus-4-20250514
scikit-learn__scikit-learn-30649,4,2,0.5,0.0,0.2605602895106572,0.0925383097597553,0.5211205790213144,0.5732326369234458,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30705,4,0,0.0,1.0,0.12828106118179647,0.008464363751637031,0.256562122363593,0.0256562122363593,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30730,4,0,0.0,1.0,0.11362330717110128,0.015473585899828592,0.2272466143422025,0.02272466143422025,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30787,4,1,0.25,0.5,0.19223458192575837,0.11860761407584085,0.38446916385151675,0.23068149831091003,hard,gpt-5.1,"claude-opus-4-20250514, gpt-4o, o4-mini"
scikit-learn__scikit-learn-30833,4,0,0.0,1.0,0.031006795006795006,0.001317242843430878,0.06201359001358997,0.006201359001358997,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30838,4,2,0.5,0.0,0.2873205229455229,0.11231483371274581,0.5746410458910458,0.6321051504801505,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30844,4,0,0.0,1.0,0.15706183830401096,0.011130384649377182,0.314123676608022,0.0314123676608022,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30851,4,0,0.0,1.0,0.16015763813326664,0.03170678864250238,0.32031527626653333,0.03203152762665334,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30857,4,0,0.0,1.0,0.19459257635680788,0.0530571341461056,0.38918515271361576,0.03891851527136158,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30863,4,0,0.0,1.0,0.1044196375717367,0.0139046060682958,0.20883927514347334,0.020883927514347336,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30865,4,0,0.0,1.0,0.07823925186697019,0.006205735819553695,0.15647850373394034,0.015647850373394036,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30873,4,0,0.0,1.0,0.17583886442546431,0.023628766529474033,0.35167772885092863,0.03516777288509287,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30898,4,2,0.5,0.0,0.32849492829408616,0.14263916827133086,0.6569898565881723,0.7226888422469896,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30903,4,0,0.0,1.0,0.06768962559240196,0.014574578317824697,0.13537925118480398,0.013537925118480398,hard,,"claude-opus-4-20250514, gpt-4o, gpt-5.1, o4-mini"
scikit-learn__scikit-learn-30944,4,2,0.5,0.0,0.238854292377715,0.07629615200649868,0.47770858475543,0.5254794432309731,medium,"gpt-4o, gpt-5.1","claude-opus-4-20250514, o4-mini"
scikit-learn__scikit-learn-30956,4,3,0.75,0.5,0.3916146798660437,0.06773506953504857,0.7832293597320874,0.4699376158392524,easy,"gpt-4o, gpt-5.1, o4-mini",claude-opus-4-20250514
